"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000187608",9129.60673945773,1.94343040040142,2.21431330009837,7.82266191824127e-05,0.048396201734186
"2","ENSG00000280670",51.718260478417,5.56754800776037,3.99309777801733,2.01140356649339e-05,0.0221168000204404
"3","ENSG00000197852",77.6992344477722,3.30753341281993,2.34949431071573,2.61663768077725e-05,0.0259012241894537
"4","ENSG00000227496",68.6970480208635,3.96237263500924,4.30473046546433,5.18263475448298e-05,0.0423638565457289
"5","ENSG00000225439",51.3660133032725,3.62738228578031,3.66937812270345,5.58118053649242e-05,0.0423638565457289
"6","ENSG00000169245",4310.87783936503,7.5154076713758,1.9528206926196,8.23548594945698e-07,0.00209265948421672
"7","ENSG00000173083",54.3075951634669,6.4429614661571,3.65397709417412,1.08947697671692e-05,0.0192518270504392
"8","ENSG00000272323",115.347937192032,9.0735703227265,1.97531451454136,1.55261426779783e-07,0.000602443806790822
"9","ENSG00000286828",66.9063984990836,5.74221316991399,4.11315370594375,1.89089456569358e-05,0.0221168000204404
"10","ENSG00000243232",70.9096236770873,6.47525112183795,3.86034973199608,1.1669345599e-05,0.0192518270504392
"11","ENSG00000278206",40.4742046290588,3.92034530474334,4.06252629963736,5.18730357768819e-05,0.0423638565457289
"12","ENSG00000164506",145.357488614517,3.56916060381738,3.17217603011382,4.48793119248024e-05,0.0416480014662166
"13","ENSG00000198932",129.511045375572,9.30370898550272,1.86159958105414,4.95096396720353e-08,0.00036755956492519
"14","ENSG00000175445",179.626821850987,9.4841728427717,2.10508609685351,1.6229628415701e-07,0.000602443806790822
"15","ENSG00000147509",87.9806197048461,3.69652952050158,4.36475833342939,5.96462498467553e-05,0.0423638565457289
"16","ENSG00000104415",44.2008043511258,3.36265107665027,4.03184948560317,7.20698670014347e-05,0.0465257993581436
"17","ENSG00000189431",68.9518767243539,-5.7194048112936,3.35483483636363,1.39069473483673e-05,0.0206490354228558
"18","ENSG00000152463",50.0543236839042,-5.75408488118291,3.93169117762338,1.78023048442667e-05,0.0221168000204404
"19","ENSG00000111335",1060.87360411984,9.84261738173202,1.89286373732699,1.96735114249569e-08,0.000292112297637761
"20","ENSG00000165949",2876.09205572733,2.28996186961026,2.38975894487239,6.53433999515126e-05,0.0441008546581845
"21","ENSG00000182405",110.564099846482,6.11651298441761,2.28990923650398,4.24585644256729e-06,0.00900606806560559
"22","ENSG00000261241",85.9216524145887,6.32429733667103,1.59579949423476,8.45632873471198e-07,0.00209265948421672
"23","ENSG00000132530",87.2471283617718,5.63827327417756,4.30994984059068,2.08536638123764e-05,0.0221168000204404
"24","ENSG00000101265",56.1913903075974,3.69558288100194,4.18731304732955,5.9916553573566e-05,0.0423638565457289
